Market,Max Trades, IS,HO Return,HO Sharpe Ratio,HO Win Rate,OOS,Total Trades,Total Profit, Avg Profit, Drawdown, Wins, Draws, Loses, Win Rate, Win Day,Avg Duration, Avg Dur_Win, Avg Dur_Lose, Market Change, Left total trades, Left avg profit, Left total profit, Left avg duration, Left win, Left draws, Left lose, Left Win Rate 
USDT200, 20,20191101_20200201,4.31%,6.25779,15/8/1, 20200201_20200301,10,-0.73%,-1.45, 43.69%,6, 1, 3, 60.0,4/10/3,1 day 11:48:00, 11:10:00, 3 days 14:00:00,8.12%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 20,20191001_20200101,3.25%,4.58460,8/9/0, 20200101_20200201,12,-0.42%,-0.68, 29.44%,4, 7, 1, 33.3,4/20/1,1 day 3:05:00, 14:30:00, 3 days 14:00:00,37.39%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 20,20190901_20191201,1.77%,4.07349,8/10/0, 20191201_20200101,4,0.22%,1.10, 0.0%,1, 3, 0, 100,1/1/0,1 day 12:30:00, 18:00:00, 0:00:00,-13.32%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 20,20190801_20191101,7.34%,3.62912,34/24/3, 20191101_20191201,20,-0.97%,-0.93, 49.96%,10, 5, 5, 50.0,5/22/2,3 days 21:12:00, 1 day 0:18:00, 7 days 15:36:00,-4.11%,4,-7.34, -1.49, 7 days 19:30:00,0,0, 4, 0
BTC200, 5,20210701_20211001,126.71%,5.92275,103/49/17, 20211001_20211101,48,-25.87%,-2.66, 177.2%,19, 14, 15, 39.6,10/9/9,2 days 7:45:00, 19:28:00, 4 days 11:16:00,-13.48%,5,-3.35, -2.80, 18:00:00,1,0, 4, 20.0
BTC200, 5,20210601_20210901,16.92%,7.23633,20/8/2, 20210901_20211001,9,-3.46%,-1.93, 38.12%,4, 3, 2, 44.4,2/10/2,1 day 9:47:00, 9:30:00, 1 day 22:00:00,2.39%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 5,20210501_20210801,30.44%,5.22905,18/14/16, 20210801_20210901,12,-2.1%,-0.85, 19.18%,3, 3, 6, 25.0,2/22/5,1 day 0:40:00, 15:00:00, 1 day 0:20:00,34.03%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 5,20210401_20210701,111.01%,5.31606,148/128/34, 20210701_20210801,95,2.99%,0.25, 90.81%,38, 40, 17, 40.0,16/8/7,1 day 10:56:00, 10:44:00, 3 days 15:25:00,9.92%,5,-10.08, -11.37, 4 days 21:24:00,1,0, 4, 20.0
BTC200, 5,20210301_20210601,438.13%,8.52361,147/111/13, 20210601_20210701,54,-8.89%,-0.70, 75.56%,17, 28, 9, 31.5,10/14/5,2 days 3:02:00, 10:49:00, 7 days 1:20:00,-11.46%,5,1.02, 0.91, 4 days 20:24:00,1,0, 4, 20.0
BTC200, 5,20210201_20210501,870.52%,10.44350,392/1/515, 20210501_20210601,292,-13.53%,-0.19, 188.57%,103, 1, 188, 35.3,19/0/13,11:04:00, 13:00:00, 9:54:00,11.84%,5,2.30, 1.93, 14:24:00,5,0, 0, 100
