Market,Max Trades, IS,HO Return,HO Sharpe Ratio,HO Win Rate,OOS,Total Trades,Total Profit, Avg Profit, Drawdown, Wins, Draws, Loses, Win Rate, Win Day,Avg Duration, Avg Dur_Win, Avg Dur_Lose, Market Change, Left total trades, Left avg profit, Left total profit, Left avg duration, Left win, Left draws, Left lose, Left Win Rate 
USDT200, 10,20210601_20210901,42.66%,2.97885,168/166/23, 20210901_20211001,104,-20.25%,-1.72, 288.66%,42, 44, 18, 40.4,16/8/6,2 days 16:45:00, 15:21:00, 9 days 21:33:00,-5.96%,10,-16.07, -16.39, 12 days 16:36:00,0,0, 10, 0
USDT200, 10,20210501_20210801,-28.55%,0.37622,170/119/42, 20210801_20210901,187,46.92%,2.09, 75.9%,98, 80, 9, 52.4,25/4/1,1 day 13:01:00, 17:12:00, 5 days 14:33:00,43.83%,10,-7.59, -11.49, 5 days 2:00:00,1,0, 9, 10.0
USDT200, 10,20210401_20210701,52.30%,1.75688,891/9/799, 20210701_20210801,487,-3.57%,-0.03, 358.14%,202, 6, 279, 41.5,15/0/16,12:11:00, 13:10:00, 10:57:00,22.66%,8,-0.40, -0.31, 7:15:00,1,0, 7, 12.5
USDT200, 10,20210301_20210601,448.41%,6.75189,806/0/1270, 20210601_20210701,473,-10.72%,-0.21, 247.4%,154, 1, 318, 32.6,9/2/19,7:09:00, 10:12:00, 5:37:00,-21.57%,9,2.13, 1.67, 3:13:00,9,0, 0, 100
USDT200, 10,20210201_20210501,948.49%,10.82100,943/173/512, 20210501_20210601,470,-19.88%,-0.36, 524.95%,224, 49, 197, 47.7,16/0/15,9:54:00, 6:38:00, 11:16:00,-26.39%,9,2.57, 1.75, 10:20:00,8,0, 1, 88.9
USDT200, 10,20210101_20210401,2054.40%,13.02705,872/0/1208, 20210401_20210501,676,78.66%,0.92, 196.15%,273, 0, 403, 40.4,20/0/10,7:09:00, 9:13:00, 5:44:00,55.43%,9,2.59, 3.97, 6:53:00,6,0, 3, 66.7
USDT200, 10,20201201_20210301,1110.51%,9.96228,686/64/521, 20210301_20210401,414,143.28%,2.20, 84.88%,226, 17, 171, 54.6,22/0/9,14:48:00, 11:46:00, 17:11:00,103.4%,8,-1.30, -2.43, 12:15:00,3,0, 5, 37.5
USDT200, 10,20201101_20210201,533.69%,9.62724,682/16/535, 20210201_20210301,422,84.21%,1.58, 309.37%,255, 6, 161, 60.4,18/0/10,12:18:00, 9:12:00, 16:11:00,105.94%,7,0.46, 0.59, 2:09:00,5,0, 2, 71.4
USDT200, 10,20201001_20210101,61.73%,6.49957,127/121/16, 20210101_20210201,139,87.02%,4.66, 91.35%,69, 57, 13, 49.6,22/7/2,2 days 1:54:00, 18:11:00, 5 days 1:14:00,84.34%,10,-9.13, -16.59, 6 days 2:12:00,0,0, 10, 0
USDT200, 10,20200901_20201201,23.25%,2.86296,86/79/12, 20201201_20210101,110,20.86%,1.78, 95.67%,64, 35, 11, 58.2,18/9/4,2 days 15:21:00, 20:38:00, 4 days 13:55:00,27.28%,9,-1.96, -1.98, 3 days 1:00:00,3,0, 6, 33.3
USDT200, 10,20200801_20201101,2.92%,0.45348,106/118/17, 20201101_20201201,176,43.86%,2.14, 99.6%,90, 77, 9, 51.1,25/1/2,1 day 12:48:00, 14:09:00, 5 days 12:40:00,44.52%,10,-9.27, -14.50, 4 days 19:24:00,2,0, 8, 20.0
USDT200, 10,20200701_20201001,56.55%,3.46144,295/12/492, 20201001_20201101,271,-10.64%,-0.38, 138.88%,71, 6, 194, 26.2,10/0/20,19:57:00, 1 day 7:46:00, 14:58:00,-10.1%,9,1.10, 0.87, 19:20:00,7,0, 2, 77.8
USDT200, 10,20200601_20200901,66.12%,8.76410,103/105/12, 20200901_20201001,61,-14.21%,-2.26, 146.68%,22, 22, 17, 36.1,15/9/5,4 days 6:26:00, 1 day 7:19:00, 8 days 20:53:00,-16.68%,10,-7.36, -6.85, 12 days 3:36:00,0,0, 10, 0
USDT200, 10,20200501_20200801,46.88%,10.95389,84/87/9, 20200801_20200901,82,14.15%,1.63, 90.54%,41, 32, 9, 50.0,18/10/1,3 days 12:02:00, 1 day 4:26:00, 13 days 20:20:00,30.11%,9,-10.06, -10.68, 13 days 20:20:00,0,0, 9, 0
USDT200, 10,20200401_20200701,47.81%,5.17104,115/93/12, 20200701_20200801,117,22.2%,1.72, 46.91%,66, 42, 9, 56.4,19/8/3,2 days 10:54:00, 21:47:00, 5 days 13:40:00,31.66%,10,-1.77, -2.05, 4 days 8:54:00,4,0, 6, 40.0
